Region,Activity,Percentage response
Northern Shenandoah Valley,Canoeing/kayaking,24.00%
Northern Shenandoah Valley,Water skiing or towed on water,5.00%
Northern Shenandoah Valley,Whitewater rafting (guided or solo),2.00%
Northern Shenandoah Valley,Tubing on water,12.00%
Northern Shenandoah Valley,Swimming/outdoor pool,50.00%
Northern Shenandoah Valley,Swimming/beach/lake river (open water),28.00%
Northern Shenandoah Valley,Crew rowing,0.00%
Northern Shenandoah Valley,Surfing,2.00%
Northern Shenandoah Valley,Paddleboarding,5.00%
Northern Shenandoah Valley,Kiteboarding,0.00%
Northern Shenandoah Valley,Splash pads,15.00%
Northern Shenandoah Valley,Viewing the water,27.00%
Northern Shenandoah Valley,Other water-dependent activities,1.00%
Northern Shenandoah Valley,Tennis,7.00%
Northern Shenandoah Valley,Basketball,8.00%
Northern Shenandoah Valley,Pickle ball,1.00%
Northern Shenandoah Valley,Shuffleboard,1.00%
Northern Shenandoah Valley,18-hole golf,9.00%
Northern Shenandoah Valley,Par-3 golf,14.00%
Northern Shenandoah Valley,Driving range,7.00%
Northern Shenandoah Valley,Disc golf,1.00%
Northern Shenandoah Valley,Racquetball,12.00%
Northern Shenandoah Valley,Squash,0.00%
Northern Shenandoah Valley,Miniature golf,7.00%
Northern Shenandoah Valley,Archery,4.00%
Northern Shenandoah Valley,Shooting range,16.00%
Northern Shenandoah Valley,Other activities on courts & golf,2.00%
Northern Shenandoah Valley,"Visiting working farms, petting zoos, corn mazes, etc. ",34.00%
Northern Shenandoah Valley,Music festivals,24.00%
Northern Shenandoah Valley,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",7.00%
Northern Shenandoah Valley,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",27.00%
Northern Shenandoah Valley,Culinary tours/trails (brewery/winery/food),14.00%
Northern Shenandoah Valley,Nature-based tours/trails,23.00%
Northern Shenandoah Valley,"Art-based tours/trails (artisan, music)",3.00%
Northern Shenandoah Valley,Sporting events or tournaments,24.00%
Northern Shenandoah Valley,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",11.00%
Northern Shenandoah Valley,Other destination activities,1.00%
Northern Shenandoah Valley,Hunting,17.00%
Northern Shenandoah Valley,Picnicking away from home,26.00%
Northern Shenandoah Valley,Nature study/Nature programs,4.00%
Northern Shenandoah Valley,Visiting gardens/arboretums,33.00%
Northern Shenandoah Valley,Bird-watching away from home,6.00%
Northern Shenandoah Valley,"Visiting parks (local, state & national)",61.00%
Northern Shenandoah Valley,Visiting historic areas,31.00%
Northern Shenandoah Valley,Geocaching ,1.00%
Northern Shenandoah Valley,Viewing scenery,29.00%
Northern Shenandoah Valley,Dog parks,11.00%
Northern Shenandoah Valley,Zip line,4.00%
Northern Shenandoah Valley,RV camping,8.00%
Northern Shenandoah Valley,Tent camping,10.00%
Northern Shenandoah Valley,Staying in cabins,13.00%
Northern Shenandoah Valley,Paddle-in camping,0.00%
Northern Shenandoah Valley,Visiting private farms and forests,8.00%
Northern Shenandoah Valley,Gardening,41.00%
Northern Shenandoah Valley,Visiting playgrounds,32.00%
Northern Shenandoah Valley,Bicycle touring on roads,5.00%
Northern Shenandoah Valley,Segway on sidewalks and paths,1.00%
Northern Shenandoah Valley,Electric-assist bicycle on road or trail,0.00%
Northern Shenandoah Valley,Orienteering,0.00%
Northern Shenandoah Valley,Stargazing/Dark skies/Astronomy,7.00%
Northern Shenandoah Valley,Other activities,1.00%
Northern Shenandoah Valley,Walking for pleasure,68.00%
Northern Shenandoah Valley,Jogging/running,14.00%
Northern Shenandoah Valley,Hiking/backpacking day trips,21.00%
Northern Shenandoah Valley,Fitness trail (not jogging),6.00%
Northern Shenandoah Valley,Horseback riding,4.00%
Northern Shenandoah Valley,Mountain biking,2.00%
Northern Shenandoah Valley,Paved or gravel bicycle trails,9.00%
Northern Shenandoah Valley,"Driving 4-wheel off road (Jeep, truck)",4.00%
Northern Shenandoah Valley,Driving motorcycle off road/dirt bike,1.00%
Northern Shenandoah Valley,ATV or UTV off road,10.00%
Northern Shenandoah Valley,Other activities on trails,0.00%
Northern Shenandoah Valley,Softball,4.00%
Northern Shenandoah Valley,Baseball,4.00%
Northern Shenandoah Valley,T-ball,2.00%
Northern Shenandoah Valley,Soccer,8.00%
Northern Shenandoah Valley,Rugby,0.00%
Northern Shenandoah Valley,Football,4.00%
Northern Shenandoah Valley,Volleyball,1.00%
Northern Shenandoah Valley,Lacrosse,1.00%
Northern Shenandoah Valley,Field hockey,0.00%
Northern Shenandoah Valley,Kickball,1.00%
Northern Shenandoah Valley,Cheerleading,1.00%
Northern Shenandoah Valley,Track and field,1.00%
Northern Shenandoah Valley,Other activities on sports fields ,1.00%
Northern Virginia,Driving for pleasure,60.00%
Northern Virginia,Visiting natural areas,79.00%
Northern Virginia,Equestrian,10.00%
Northern Virginia,Downhill skiing ,17.00%
Northern Virginia,Snowboarding,10.00%
Northern Virginia,"Cross-country skiing, snowshoeing",4.00%
Northern Virginia,Snow sledding/tubing,14.00%
Northern Virginia,Ice skating (outdoor),16.00%
Northern Virginia,Other snow/ice-dependent activities,2.00%
Northern Virginia,Freshwater fishing,26.00%
Northern Virginia,Saltwater fishing,12.00%
Northern Virginia,Sunbathing/relaxing on a beach,47.00%
Northern Virginia,Jet ski/personal watercraft,7.00%
Northern Virginia,Powerboating,14.00%
Northern Virginia,Sailing,5.00%
Northern Virginia,Sail boarding,1.00%
Northern Virginia,Canoeing/kayaking,29.00%
Northern Virginia,Water skiing or towed on water,6.00%
Northern Virginia,Whitewater rafting (guided or solo),4.00%
Northern Virginia,Tubing on water,12.00%
Northern Virginia,Swimming/outdoor pool,54.00%
Northern Virginia,Swimming/beach/lake river (open water),36.00%
Northern Virginia,Crew rowing,1.00%
Northern Virginia,Surfing,2.00%
Northern Virginia,Paddleboarding,7.00%
Northern Virginia,Kiteboarding,0.00%
Northern Virginia,Splash pads,6.00%
Northern Virginia,Viewing the water,42.00%
Northern Virginia,Other water-dependent activities,2.00%
Northern Virginia,Tennis,19.00%
Northern Virginia,Basketball,19.00%
Northern Virginia,Pickle ball,3.00%
Northern Virginia,Shuffleboard,1.00%
Northern Virginia,18-hole golf,19.00%
Northern Virginia,Par-3 golf,7.00%
Northern Virginia,Driving range,22.00%
Northern Virginia,Disc golf,5.00%
Northern Virginia,Racquetball,2.00%
Northern Virginia,Squash,1.00%
Northern Virginia,Miniature golf,24.00%
Northern Virginia,Archery,2.00%
Northern Virginia,Shooting range,16.00%
Northern Virginia,Other activities on courts & golf,2.00%
Northern Virginia,"Visiting working farms, petting zoos, corn mazes, etc. ",36.00%
Northern Virginia,Music festivals,27.00%
Northern Virginia,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",6.00%
Northern Virginia,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",29.00%
Northern Virginia,Culinary tours/trails (brewery/winery/food),27.00%
Northern Virginia,Nature-based tours/trails,34.00%
Northern Virginia,"Art-based tours/trails (artisan, music)",8.00%
Northern Virginia,Sporting events or tournaments,29.00%
Northern Virginia,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",28.00%
Northern Virginia,Other destination activities,2.00%
Northern Virginia,Hunting,7.00%
Northern Virginia,Picnicking away from home,31.00%
Northern Virginia,Nature study/Nature programs,7.00%
Northern Virginia,Visiting gardens/arboretums,33.00%
Northern Virginia,Bird-watching away from home,6.00%
Northern Virginia,"Visiting parks (local, state & national)",65.00%
Northern Virginia,Visiting historic areas,45.00%
Northern Virginia,Geocaching ,3.00%
Northern Virginia,Viewing scenery,25.00%
Northern Virginia,Dog parks,18.00%
Northern Virginia,Zip line,6.00%
Northern Virginia,RV camping,4.00%
Northern Virginia,Tent camping,15.00%
Northern Virginia,Staying in cabins,8.00%
Northern Virginia,Paddle-in camping,1.00%
Northern Virginia,Visiting private farms and forests,9.00%
Northern Virginia,Gardening,21.00%
Northern Virginia,Visiting playgrounds,25.00%
Northern Virginia,Bicycle touring on roads,14.00%
Northern Virginia,Segway on sidewalks and paths,2.00%
Northern Virginia,Electric-assist bicycle on road or trail,1.00%
Northern Virginia,Orienteering,1.00%
Northern Virginia,Stargazing/Dark skies/Astronomy,9.00%
Northern Virginia,Other activities,2.00%
Northern Virginia,Walking for pleasure,76.00%
Northern Virginia,Jogging/running,36.00%
Northern Virginia,Hiking/backpacking day trips,27.00%
Northern Virginia,Fitness trail (not jogging),12.00%
Northern Virginia,Horseback riding,5.00%
Northern Virginia,Mountain biking,7.00%
Northern Virginia,Paved or gravel bicycle trails,20.00%
Northern Virginia,"Driving 4-wheel off road (Jeep, truck)",2.00%
Northern Virginia,Driving motorcycle off road/dirt bike,1.00%
Northern Virginia,ATV or UTV off road,1.00%
Northern Virginia,Other activities on trails,1.00%
Northern Virginia,Softball,6.00%
Northern Virginia,Baseball,7.00%
Northern Virginia,T-ball,2.00%
Northern Virginia,Soccer,21.00%
Northern Virginia,Rugby,1.00%
Northern Virginia,Football,8.00%
Northern Virginia,Volleyball,4.00%
Northern Virginia,Lacrosse,4.00%
Northern Virginia,Field hockey,1.00%
Northern Virginia,Kickball,2.00%
Northern Virginia,Cheerleading,1.00%
Northern Virginia,Track and field,3.00%
Northern Virginia,Other activities on sports fields ,3.00%
Rappahannock-Rapidan,Driving for pleasure,78.00%
Rappahannock-Rapidan,Visiting natural areas,72.00%
Rappahannock-Rapidan,Equestrian,18.00%
Rappahannock-Rapidan,Downhill skiing ,7.00%
Rappahannock-Rapidan,Snowboarding,6.00%
Rappahannock-Rapidan,"Cross-country skiing, snowshoeing",2.00%
Rappahannock-Rapidan,Snow sledding/tubing,18.00%
Rappahannock-Rapidan,Ice skating (outdoor),7.00%
Rappahannock-Rapidan,Other snow/ice-dependent activities,1.00%
Rappahannock-Rapidan,Freshwater fishing,39.00%
Rappahannock-Rapidan,Saltwater fishing,8.00%
Rappahannock-Rapidan,Sunbathing/relaxing on a beach,52.00%
Rappahannock-Rapidan,Jet ski/personal watercraft,9.00%
Rappahannock-Rapidan,Powerboating,14.00%
Rappahannock-Rapidan,Sailing,4.00%
Rappahannock-Rapidan,Sail boarding,0.00%
Rappahannock-Rapidan,Canoeing/kayaking,30.00%
Rappahannock-Rapidan,Water skiing or towed on water,7.00%
Rappahannock-Rapidan,Whitewater rafting (guided or solo),6.00%
Rappahannock-Rapidan,Tubing on water,21.00%
Rappahannock-Rapidan,Swimming/outdoor pool,53.00%
Rappahannock-Rapidan,Swimming/beach/lake river (open water),40.00%
Rappahannock-Rapidan,Crew rowing,0.00%
Rappahannock-Rapidan,Surfing,1.00%
Rappahannock-Rapidan,Paddleboarding,5.00%
Rappahannock-Rapidan,Kiteboarding,0.00%
Rappahannock-Rapidan,Splash pads,1.00%
Rappahannock-Rapidan,Viewing the water,31.00%
Rappahannock-Rapidan,Other water-dependent activities,4.00%
Rappahannock-Rapidan,Tennis,6.00%
Rappahannock-Rapidan,Basketball,12.00%
Rappahannock-Rapidan,Pickle ball,0.00%
Rappahannock-Rapidan,Shuffleboard,3.00%
Rappahannock-Rapidan,18-hole golf,21.00%
Rappahannock-Rapidan,Par-3 golf,5.00%
Rappahannock-Rapidan,Driving range,12.00%
Rappahannock-Rapidan,Disc golf,2.00%
Rappahannock-Rapidan,Racquetball,1.00%
Rappahannock-Rapidan,Squash,0.00%
Rappahannock-Rapidan,Miniature golf,15.00%
Rappahannock-Rapidan,Archery,5.00%
Rappahannock-Rapidan,Shooting range,11.00%
Rappahannock-Rapidan,Other activities on courts & golf,2.00%
Rappahannock-Rapidan,"Visiting working farms, petting zoos, corn mazes, etc. ",40.00%
Rappahannock-Rapidan,Music festivals,26.00%
Rappahannock-Rapidan,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",11.00%
Rappahannock-Rapidan,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",24.00%
Rappahannock-Rapidan,Culinary tours/trails (brewery/winery/food),22.00%
Rappahannock-Rapidan,Nature-based tours/trails,28.00%
Rappahannock-Rapidan,"Art-based tours/trails (artisan, music)",8.00%
Rappahannock-Rapidan,Sporting events or tournaments,18.00%
Rappahannock-Rapidan,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",12.00%
Rappahannock-Rapidan,Other destination activities,2.00%
Rappahannock-Rapidan,Hunting,16.00%
Rappahannock-Rapidan,Picnicking away from home,31.00%
Rappahannock-Rapidan,Nature study/Nature programs,7.00%
Rappahannock-Rapidan,Visiting gardens/arboretums,20.00%
Rappahannock-Rapidan,Bird-watching away from home,5.00%
Rappahannock-Rapidan,"Visiting parks (local, state & national)",55.00%
Rappahannock-Rapidan,Visiting historic areas,44.00%
Rappahannock-Rapidan,Geocaching ,6.00%
Rappahannock-Rapidan,Viewing scenery,32.00%
Rappahannock-Rapidan,Dog parks,4.00%
Rappahannock-Rapidan,Zip line,6.00%
Rappahannock-Rapidan,RV camping,5.00%
Rappahannock-Rapidan,Tent camping,13.00%
Rappahannock-Rapidan,Staying in cabins,9.00%
Rappahannock-Rapidan,Paddle-in camping,1.00%
Rappahannock-Rapidan,Visiting private farms and forests,13.00%
Rappahannock-Rapidan,Gardening,30.00%
Rappahannock-Rapidan,Visiting playgrounds,25.00%
Rappahannock-Rapidan,Bicycle touring on roads,2.00%
Rappahannock-Rapidan,Segway on sidewalks and paths,0.00%
Rappahannock-Rapidan,Electric-assist bicycle on road or trail,1.00%
Rappahannock-Rapidan,Orienteering,0.00%
Rappahannock-Rapidan,Stargazing/Dark skies/Astronomy,14.00%
Rappahannock-Rapidan,Other activities,3.00%
Rappahannock-Rapidan,Walking for pleasure,69.00%
Rappahannock-Rapidan,Jogging/running,23.00%
Rappahannock-Rapidan,Hiking/backpacking day trips,24.00%
Rappahannock-Rapidan,Fitness trail (not jogging),8.00%
Rappahannock-Rapidan,Horseback riding,11.00%
Rappahannock-Rapidan,Mountain biking,6.00%
Rappahannock-Rapidan,Paved or gravel bicycle trails,6.00%
Rappahannock-Rapidan,"Driving 4-wheel off road (Jeep, truck)",7.00%
Rappahannock-Rapidan,Driving motorcycle off road/dirt bike,0.00%
Rappahannock-Rapidan,ATV or UTV off road,14.00%
Rappahannock-Rapidan,Other activities on trails,0.00%
Rappahannock-Rapidan,Softball,6.00%
Rappahannock-Rapidan,Baseball,3.00%
Rappahannock-Rapidan,T-ball,2.00%
Rappahannock-Rapidan,Soccer,12.00%
Rappahannock-Rapidan,Rugby,1.00%
Rappahannock-Rapidan,Football,5.00%
Rappahannock-Rapidan,Volleyball,5.00%
Rappahannock-Rapidan,Lacrosse,2.00%
Rappahannock-Rapidan,Field hockey,1.00%
Rappahannock-Rapidan,Kickball,1.00%
Rappahannock-Rapidan,Cheerleading,1.00%
Rappahannock-Rapidan,Track and field,4.00%
Rappahannock-Rapidan,Other activities on sports fields ,7.00%
Region 2000 Partnership,Driving for pleasure,61.00%
Region 2000 Partnership,Visiting natural areas,68.00%
Region 2000 Partnership,Equestrian,5.00%
Region 2000 Partnership,Downhill skiing ,3.00%
Region 2000 Partnership,Snowboarding,1.00%
Region 2000 Partnership,"Cross-country skiing, snowshoeing",1.00%
Region 2000 Partnership,Snow sledding/tubing,13.00%
Region 2000 Partnership,Ice skating (outdoor),3.00%
Region 2000 Partnership,Other snow/ice-dependent activities,1.00%
Region 2000 Partnership,Freshwater fishing,35.00%
Region 2000 Partnership,Saltwater fishing,12.00%
Region 2000 Partnership,Sunbathing/relaxing on a beach,37.00%
Region 2000 Partnership,Jet ski/personal watercraft,4.00%
Region 2000 Partnership,Powerboating,13.00%
Region 2000 Partnership,Sailing,2.00%
Region 2000 Partnership,Sail boarding,0.00%
Region 2000 Partnership,Canoeing/kayaking,21.00%
Region 2000 Partnership,Water skiing or towed on water,7.00%
Region 2000 Partnership,Whitewater rafting (guided or solo),6.00%
Region 2000 Partnership,Tubing on water,8.00%
Region 2000 Partnership,Swimming/outdoor pool,46.00%
Region 2000 Partnership,Swimming/beach/lake river (open water),28.00%
Region 2000 Partnership,Crew rowing,0.00%
Region 2000 Partnership,Surfing,0.00%
Region 2000 Partnership,Paddleboarding,4.00%
Region 2000 Partnership,Kiteboarding,0.00%
Region 2000 Partnership,Splash pads,2.00%
Region 2000 Partnership,Viewing the water,29.00%
Region 2000 Partnership,Other water-dependent activities,2.00%
Region 2000 Partnership,Tennis,6.00%
Region 2000 Partnership,Basketball,9.00%
Region 2000 Partnership,Pickle ball,1.00%
Region 2000 Partnership,Shuffleboard,2.00%
Region 2000 Partnership,18-hole golf,10.00%
Region 2000 Partnership,Par-3 golf,4.00%
Region 2000 Partnership,Driving range,4.00%
Region 2000 Partnership,Disc golf,4.00%
Region 2000 Partnership,Racquetball,0.00%
Region 2000 Partnership,Squash,0.00%
Region 2000 Partnership,Miniature golf,18.00%
Region 2000 Partnership,Archery,9.00%
Region 2000 Partnership,Shooting range,12.00%
Region 2000 Partnership,Other activities on courts & golf,0.00%
Region 2000 Partnership,"Visiting working farms, petting zoos, corn mazes, etc. ",25.00%
Region 2000 Partnership,Music festivals,22.00%
Region 2000 Partnership,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",4.00%
Region 2000 Partnership,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",33.00%
Region 2000 Partnership,Culinary tours/trails (brewery/winery/food),20.00%
Region 2000 Partnership,Nature-based tours/trails,22.00%
Region 2000 Partnership,"Art-based tours/trails (artisan, music)",4.00%
Region 2000 Partnership,Sporting events or tournaments,17.00%
Region 2000 Partnership,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",19.00%
Region 2000 Partnership,Other destination activities,1.00%
Region 2000 Partnership,Hunting,24.00%
Region 2000 Partnership,Picnicking away from home,25.00%
Region 2000 Partnership,Nature study/Nature programs,5.00%
Region 2000 Partnership,Visiting gardens/arboretums,15.00%
Region 2000 Partnership,Bird-watching away from home,4.00%
Region 2000 Partnership,"Visiting parks (local, state & national)",49.00%
Region 2000 Partnership,Visiting historic areas,31.00%
Region 2000 Partnership,Geocaching ,5.00%
Region 2000 Partnership,Viewing scenery,30.00%
Region 2000 Partnership,Dog parks,6.00%
Region 2000 Partnership,Zip line,3.00%
Region 2000 Partnership,RV camping,8.00%
Region 2000 Partnership,Tent camping,9.00%
Region 2000 Partnership,Staying in cabins,13.00%
Region 2000 Partnership,Paddle-in camping,0.00%
Region 2000 Partnership,Visiting private farms and forests,19.00%
Region 2000 Partnership,Gardening,26.00%
Region 2000 Partnership,Visiting playgrounds,18.00%
Region 2000 Partnership,Bicycle touring on roads,3.00%
Region 2000 Partnership,Segway on sidewalks and paths,0.00%
Region 2000 Partnership,Electric-assist bicycle on road or trail,0.00%
Region 2000 Partnership,Orienteering,2.00%
Region 2000 Partnership,Stargazing/Dark skies/Astronomy,16.00%
Region 2000 Partnership,Other activities,1.00%
Region 2000 Partnership,Walking for pleasure,59.00%
Region 2000 Partnership,Jogging/running,23.00%
Region 2000 Partnership,Hiking/backpacking day trips,17.00%
Region 2000 Partnership,Fitness trail (not jogging),6.00%
Region 2000 Partnership,Horseback riding,3.00%
Region 2000 Partnership,Mountain biking,6.00%
Region 2000 Partnership,Paved or gravel bicycle trails,13.00%
Region 2000 Partnership,"Driving 4-wheel off road (Jeep, truck)",6.00%
Region 2000 Partnership,Driving motorcycle off road/dirt bike,2.00%
Region 2000 Partnership,ATV or UTV off road,5.00%
Region 2000 Partnership,Other activities on trails,0.00%
Region 2000 Partnership,Softball,4.00%
Region 2000 Partnership,Baseball,5.00%
Region 2000 Partnership,T-ball,2.00%
Region 2000 Partnership,Soccer,5.00%
Region 2000 Partnership,Rugby,0.00%
Region 2000 Partnership,Football,2.00%
Region 2000 Partnership,Volleyball,1.00%
Region 2000 Partnership,Lacrosse,1.00%
Region 2000 Partnership,Field hockey,1.00%
Region 2000 Partnership,Kickball,2.00%
Region 2000 Partnership,Cheerleading,2.00%
Region 2000 Partnership,Track and field,1.00%
Region 2000 Partnership,Other activities on sports fields ,0.00%
Richmond,Driving for pleasure,61.00%
Richmond,Visiting natural areas,68.00%
Richmond,Equestrian,9.00%
Richmond,Downhill skiing ,10.00%
Richmond,Snowboarding,4.00%
Richmond,"Cross-country skiing, snowshoeing",2.00%
Richmond,Snow sledding/tubing,12.00%
Richmond,Ice skating (outdoor),3.00%
Richmond,Other snow/ice-dependent activities,5.00%
Richmond,Freshwater fishing,26.00%
Richmond,Saltwater fishing,19.00%
Richmond,Sunbathing/relaxing on a beach,54.00%
Richmond,Jet ski/personal watercraft,5.00%
Richmond,Powerboating,14.00%
Richmond,Sailing,2.00%
Richmond,Sail boarding,1.00%
Richmond,Canoeing/kayaking,21.00%
Richmond,Water skiing or towed on water,4.00%
Richmond,Whitewater rafting (guided or solo),2.00%
Richmond,Tubing on water,8.00%
Richmond,Swimming/outdoor pool,52.00%
Richmond,Swimming/beach/lake river (open water),39.00%
Richmond,Crew rowing,1.00%
Richmond,Surfing,2.00%
Richmond,Paddleboarding,6.00%
Richmond,Kiteboarding,1.00%
Richmond,Splash pads,3.00%
Richmond,Viewing the water,45.00%
Richmond,Other water-dependent activities,1.00%
Richmond,Tennis,15.00%
Richmond,Basketball,14.00%
Richmond,Pickle ball,2.00%
Richmond,Shuffleboard,1.00%
Richmond,18-hole golf,17.00%
Richmond,Par-3 golf,6.00%
Richmond,Driving range,14.00%
Richmond,Disc golf,6.00%
Richmond,Racquetball,2.00%
Richmond,Squash,1.00%
Richmond,Miniature golf,11.00%
Richmond,Archery,5.00%
Richmond,Shooting range,10.00%
Richmond,Other activities on courts & golf,2.00%
Richmond,"Visiting working farms, petting zoos, corn mazes, etc. ",31.00%
Richmond,Music festivals,34.00%
Richmond,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",6.00%
Richmond,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",40.00%
Richmond,Culinary tours/trails (brewery/winery/food),20.00%
Richmond,Nature-based tours/trails,29.00%
Richmond,"Art-based tours/trails (artisan, music)",6.00%
Richmond,Sporting events or tournaments,22.00%
Richmond,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",23.00%
Richmond,Other destination activities,3.00%
Richmond,Hunting,8.00%
Richmond,Picnicking away from home,22.00%
Richmond,Nature study/Nature programs,6.00%
Richmond,Visiting gardens/arboretums,38.00%
Richmond,Bird-watching away from home,5.00%
Richmond,"Visiting parks (local, state & national)",66.00%
Richmond,Visiting historic areas,38.00%
Richmond,Geocaching ,3.00%
Richmond,Viewing scenery,32.00%
Richmond,Dog parks,10.00%
Richmond,Zip line,8.00%
Richmond,RV camping,4.00%
Richmond,Tent camping,13.00%
Richmond,Staying in cabins,11.00%
Richmond,Paddle-in camping,1.00%
Richmond,Visiting private farms and forests,8.00%
Richmond,Gardening,29.00%
Richmond,Visiting playgrounds,23.00%
Richmond,Bicycle touring on roads,12.00%
Richmond,Segway on sidewalks and paths,3.00%
Richmond,Electric-assist bicycle on road or trail,1.00%
Richmond,Orienteering,0.00%
Richmond,Stargazing/Dark skies/Astronomy,9.00%
Richmond,Other activities,1.00%
Richmond,Walking for pleasure,73.00%
Richmond,Jogging/running,27.00%
Richmond,Hiking/backpacking day trips,22.00%
Richmond,Fitness trail (not jogging),8.00%
Richmond,Horseback riding,4.00%
Richmond,Mountain biking,7.00%
Richmond,Paved or gravel bicycle trails,12.00%
Richmond,"Driving 4-wheel off road (Jeep, truck)",4.00%
Richmond,Driving motorcycle off road/dirt bike,1.00%
Richmond,ATV or UTV off road,3.00%
Richmond,Other activities on trails,0.00%
Richmond,Softball,4.00%
Richmond,Baseball,5.00%
Richmond,T-ball,1.00%
Richmond,Soccer,14.00%
Richmond,Rugby,0.00%
Richmond,Football,6.00%
Richmond,Volleyball,5.00%
Richmond,Lacrosse,2.00%
Richmond,Field hockey,1.00%
Richmond,Kickball,6.00%
Richmond,Cheerleading,2.00%
Richmond,Track and field,2.00%
Richmond,Other activities on sports fields ,4.00%
Roanoke Valley-Alleghany,Driving for pleasure,73.00%
Roanoke Valley-Alleghany,Visiting natural areas,71.00%
Roanoke Valley-Alleghany,Equestrian,6.00%
Roanoke Valley-Alleghany,Downhill skiing ,5.00%
Roanoke Valley-Alleghany,Snowboarding,5.00%
Roanoke Valley-Alleghany,"Cross-country skiing, snowshoeing",2.00%
Roanoke Valley-Alleghany,Snow sledding/tubing,17.00%
Roanoke Valley-Alleghany,Ice skating (outdoor),3.00%
Roanoke Valley-Alleghany,Other snow/ice-dependent activities,3.00%
Roanoke Valley-Alleghany,Freshwater fishing,29.00%
Roanoke Valley-Alleghany,Saltwater fishing,13.00%
Roanoke Valley-Alleghany,Sunbathing/relaxing on a beach,48.00%
Roanoke Valley-Alleghany,Jet ski/personal watercraft,10.00%
Roanoke Valley-Alleghany,Powerboating,14.00%
Roanoke Valley-Alleghany,Sailing,6.00%
Roanoke Valley-Alleghany,Sail boarding,1.00%
Roanoke Valley-Alleghany,Canoeing/kayaking,19.00%
Roanoke Valley-Alleghany,Water skiing or towed on water,4.00%
Roanoke Valley-Alleghany,Whitewater rafting (guided or solo),2.00%
Roanoke Valley-Alleghany,Tubing on water,10.00%
Roanoke Valley-Alleghany,Swimming/outdoor pool,46.00%
Roanoke Valley-Alleghany,Swimming/beach/lake river (open water),35.00%
Roanoke Valley-Alleghany,Crew rowing,0.00%
Roanoke Valley-Alleghany,Surfing,2.00%
Roanoke Valley-Alleghany,Paddleboarding,6.00%
Roanoke Valley-Alleghany,Kiteboarding,1.00%
Roanoke Valley-Alleghany,Splash pads,1.00%
Roanoke Valley-Alleghany,Viewing the water,36.00%
Roanoke Valley-Alleghany,Other water-dependent activities,2.00%
Roanoke Valley-Alleghany,Tennis,6.00%
Roanoke Valley-Alleghany,Basketball,12.00%
Roanoke Valley-Alleghany,Pickle ball,1.00%
Roanoke Valley-Alleghany,Shuffleboard,0.00%
Roanoke Valley-Alleghany,18-hole golf,14.00%
Roanoke Valley-Alleghany,Par-3 golf,7.00%
Roanoke Valley-Alleghany,Driving range,9.00%
Roanoke Valley-Alleghany,Disc golf,4.00%
Roanoke Valley-Alleghany,Racquetball,4.00%
Roanoke Valley-Alleghany,Squash,0.00%
Roanoke Valley-Alleghany,Miniature golf,9.00%
Roanoke Valley-Alleghany,Archery,5.00%
Roanoke Valley-Alleghany,Shooting range,16.00%
Roanoke Valley-Alleghany,Other activities on courts & golf,3.00%
Roanoke Valley-Alleghany,"Visiting working farms, petting zoos, corn mazes, etc. ",32.00%
Roanoke Valley-Alleghany,Music festivals,34.00%
Roanoke Valley-Alleghany,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
Roanoke Valley-Alleghany,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",47.00%
Roanoke Valley-Alleghany,Culinary tours/trails (brewery/winery/food),19.00%
Roanoke Valley-Alleghany,Nature-based tours/trails,25.00%
Roanoke Valley-Alleghany,"Art-based tours/trails (artisan, music)",6.00%
Roanoke Valley-Alleghany,Sporting events or tournaments,24.00%
Roanoke Valley-Alleghany,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",14.00%
Roanoke Valley-Alleghany,Other destination activities,1.00%
Roanoke Valley-Alleghany,Hunting,18.00%
Roanoke Valley-Alleghany,Picnicking away from home,26.00%
Roanoke Valley-Alleghany,Nature study/Nature programs,6.00%
Roanoke Valley-Alleghany,Visiting gardens/arboretums,21.00%
Roanoke Valley-Alleghany,Bird-watching away from home,4.00%
Roanoke Valley-Alleghany,"Visiting parks (local, state & national)",49.00%
